,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
34633,Ji Wang,1960.0,M,China,non-sherpa,Stricken with AMS at 7000m in April 1960; sent down to ABC at 6400m and died
35004,Geng-Hua Yan,2000.0,M,China,non-sherpa,"Body found at 8750m (died of exposure, exhaustion, or heart failure?)"
35021,Jeppe Stoltz,2000.0,M,Denmark,non-sherpa,
35461,Peter Gerfried Ganner,2001.0,M,Austria,non-sherpa,
35564,Mark Auricht,2001.0,M,Australia,non-sherpa,Died of stroke in C2 morning of 24 May (estimate 6:00-8:00 am)
35737,Aleksei (Alex) Nikiforov,2001.0,M,Russia,non-sherpa,
35770,Babu Chiri (Babu Tshering) Sherpa,2001.0,M,Nepal,sherpa,aka Ang Babu
35799,Santor Gardos,2001.0,M,Hungary,non-sherpa,"Fell somewhere above Col camp at 7000m (body found 1000m below with tent, thus probably blown off ridge while erecting tent)"
35847,Zoran Miletic,2002.0,M,Yugoslavia,non-sherpa,Collapsed (AMS?)
36003,Peter Legate,2002.0,M,UK,non-sherpa,
36115,Ang Gyalzen Sherpa,1992.0,M,Nepal,sherpa,Fell into river after leaving BC to return home because he was feeling sick
36116,nan Unknown,1921.0,M,India,non-sherpa,Died near Tingri of gastroenteritis (approx. June 30)
36118,Marco Siffredi,2002.0,M,France,non-sherpa,Disappeared near 8600m in Hornbein Couloir (probable fall on snowboard descent from summit)
36211,Bhim Bahadur Gurung,2003.0,M,Nepal,non-sherpa,Fell into crevasse in Icefall (est 5900m)
36638,Jan Krysztof Liszewski,2003.0,M,Poland,non-sherpa,Fell from C2 camp on or about May 25
36758,Karma Gyalzen Sherpa,2003.0,M,Nepal,sherpa,Died of pulmonary edema near top of Icefall
36764,Arnaud Saulnier,2003.0,M,France,non-sherpa,Died of heart failure at BC night of May 8-9
36778,Mingma Nuru Sherpa,1975.0,M,Nepal,sherpa,Fell into glacial stream while ferrying load from Gorak Shep to BC (drowned)
36845,Hristo Ganchev Hristov,2004.0,M,Bulgaria,non-sherpa,"Died in descent near 2nd Step (exhaustion from lack of oxygen, exposure?)"
36856,Mariana Prodanova Maslarova,2004.0,F,Bulgaria,non-sherpa,
36993,Shoko Ota,2004.0,F,Japan,non-sherpa,
37027,Joon-Ho Baek,2004.0,M,S Korea,non-sherpa,Died of exhaustion during rescue attempt of Park and Jang
37028,Min Jang,2004.0,M,S Korea,non-sherpa,
37030,Mu-Taek Park,2004.0,M,S Korea,non-sherpa,
37162,Nils P. Antezana,2004.0,M,USA,non-sherpa,
37436,Marko Lihteneker,2005.0,M,Slovenia,non-sherpa,Slide on fix rope and hit his head or heart attack
37591,Dieter Kramer,2005.0,M,Germany,non-sherpa,Collapsed of unknown causes (autopsy showed myocardial infarction)
37599,Sirigereshiva Shankarappa Chaitanya,2005.0,M,India,non-sherpa,Disappeared (presumed fell off ridge) (est. circa 8700m)
37814,Sean Egan,2005.0,M,Canada,non-sherpa,Cardiac arrest at Dhugla
37838,Robert William (Rob) Milne,2005.0,M,UK,non-sherpa,Collapsed due to presumed heart attack just below Balcony
37904,Michael Corey O'Brien,2005.0,M,USA,non-sherpa,Fell into crevasee in Icefall
38206,David W. Sharp,2006.0,M,UK,non-sherpa,
38209,Jacques-Hughes Letrange,2006.0,M,France,non-sherpa,
38293,Vitor Negrete,2006.0,M,Brazil,non-sherpa,
38466,Tomas Kenneth Olsson,2006.0,M,Sweden,non-sherpa,
38531,Sri Kishan,2006.0,M,India,non-sherpa,
38575,Igor Plyushkin,2006.0,M,Russia,non-sherpa,
38582,Thomas Weber,2006.0,M,Germany,non-sherpa,Collapsed and died from stroke or brain tumor
38695,Dawa Temba Sherpa,2006.0,M,Nepal,sherpa,
38696,Lhakpa Tshering/Chhiring Sherpa,2006.0,M,Nepal,sherpa,
38699,Tenzing Phinzo (Ang Phintso) Sherpa,2006.0,M,Nepal,sherpa,
38700,Tuk Bahadur Thapa Magar,2006.0,M,Nepal,non-sherpa,"Contracted pulmonary edema at 7000m, later died at base camp"
38863,Hyun-Jo Lee,2007.0,M,S Korea,non-sherpa,
38865,Hee-Joon Oh,2007.0,M,S Korea,non-sherpa,
39177,Shinichi Ishii,2007.0,M,Japan,non-sherpa,
39449,Pierangelo Maurizio,2007.0,M,Italy,non-sherpa,Estimate time of disappearance about 3 pm
39634,Dawa Sherpa,2007.0,M,Nepal,sherpa,
39656,Yasuhiko Mochizuki,2007.0,M,Japan,non-sherpa,
39661,Libor Kozak,2007.0,M,Czech Republic,non-sherpa,
39849,Uwe Micha Johannes (Gianni) Goltz,2008.0,M,Switzerland,non-sherpa,
41206,Veslav Chrzaszcz,2009.0,M,Czech Republic,non-sherpa,
41213,Frank Ziebarth,2009.0,M,Germany,non-sherpa,
41250,Kazi Lama Sherpa,2009.0,M,Nepal,sherpa,"HRA reported acute cardio-pulmonary disease with hypothermia, perhaps induced by alcohol poisoning (methanol tainted alcohol) at base camp"
41272,Wen-Hong Wu,2009.0,M,China,non-sherpa,
